batchNum,subjectIDCum,subjectID,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
5,1269,2,3,horizontal,horizontal,yes,red,reportColor,1389.585,5326.43,8103.795,7229.83,3552.39,7725.64,below,IBstimulus_present,red,left,37348.795
5,1270,3,0,horizontal,horizontal,null,null,null,2454.72,null,null,null,null,null,below,IBstimulus_absent,null,null,13204.76
5,1270,3,1,vertical,vertical,null,null,null,1699.365,null,null,null,null,null,below,IBstimulus_absent,null,null,6888.305
5,1270,3,2,vertical,vertical,null,null,null,1550.56,null,null,null,null,null,below,IBstimulus_absent,null,null,5316.47
5,1270,3,3,vertical,vertical,yes,red,reportColor,1523.58,4821.495,2099.67,5887.37,3556.115,3598.74,above,IBstimulus_present,red,right,25077.94
5,1271,4,0,vertical,vertical,null,null,null,5002.715,null,null,null,null,null,above,IBstimulus_absent,null,null,10864.225
5,1271,4,1,horizontal,horizontal,null,null,null,3075.91,null,null,null,null,null,below,IBstimulus_absent,null,null,11354.78
5,1271,4,2,vertical,vertical,null,null,null,2776.325,null,null,null,null,null,below,IBstimulus_absent,null,null,6058.89
5,1271,4,3,vertical,vertical,no,blue,reportColor,2593.895,6934.585,10798.045,8631.575,3735.2,7206.275,above,IBstimulus_present,red,right,46980.33
5,1272,5,0,horizontal,horizontal,null,null,null,2386,null,null,null,null,null,below,IBstimulus_absent,null,null,12640
5,1272,5,1,vertical,vertical,null,null,null,3706,null,null,null,null,null,above,IBstimulus_absent,null,null,8749
5,1272,5,2,horizontal,vertical,null,null,null,3146,null,null,null,null,null,below,IBstimulus_absent,null,null,6112
5,1272,5,3,horizontal,horizontal,no,blue,reportColor,2014,7136,7167,8215,4639,7399,below,IBstimulus_absent,null,null,39644
5,1273,6,0,horizontal,horizontal,null,null,null,6400.755,null,null,null,null,null,below,IBstimulus_absent,null,null,12038.315
5,1273,6,1,vertical,vertical,null,null,null,3261.825,null,null,null,null,null,above,IBstimulus_absent,null,null,7625.75
5,1273,6,2,horizontal,horizontal,null,null,null,2246.25,null,null,null,null,null,above,IBstimulus_absent,null,null,5616.91
5,1273,6,3,vertical,vertical,yes,red,reportColor,3302.7,4215.88,7246.91,4845.67,4684.86,5122.75,above,IBstimulus_present,red,right,32651.61
5,1274,7,0,vertical,vertical,null,null,null,2414.685,null,null,null,null,null,above,IBstimulus_absent,null,null,8039.34
5,1274,7,1,vertical,vertical,null,null,null,2682.115,null,null,null,null,null,above,IBstimulus_absent,null,null,6847.245
